,Country,Barley and products,Bovine Meat,Eggs,"Fish, Seafood",Maize and products,Milk - Excluding Butter,Mutton & Goat Meat,Pigmeat,Poultry Meat,"Pulses, Other and products",Rice (Milled Equivalent),Rye and products,Starchy Roots,Wheat and products,Code,Continent,Crop as Prop total,Pasture as prop total area
54,France,10146.0,1487.6666666666667,885.6666666666666,680.3333333333334,15519.333333333334,24916.0,125.33333333333333,2170.0,1749.6666666666667,323.6666666666667,74.33333333333333,142.33333333333334,6911.333333333333,38303.0,FRA,Eurpoe,0.3474614039138138,0.17497012260349687
55,French Polynesia,0.0,0.0,2.6666666666666665,13.333333333333334,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.666666666666666,0.0,PYF,Australia,0.0,0.0
56,Gabon,0.0,1.3333333333333333,2.6666666666666665,34.0,44.333333333333336,2.3333333333333335,1.0,3.0,4.0,0.0,1.0,0.0,528.3333333333334,0.0,GAB,Africa,0.017741116023491314,0.020757004204219713
57,Gambia,0.0,4.0,1.0,40.666666666666664,29.0,9.0,1.3333333333333333,0.0,1.0,2.6666666666666665,38.666666666666664,0.0,11.0,0.0,GMB,Africa,0.32373390305025307,0.3837018678369301
58,Georgia,28.666666666666668,19.0,27.333333333333332,27.0,300.3333333333333,616.6666666666666,3.3333333333333335,13.0,11.333333333333334,0.0,0.0,0.0,274.3333333333333,86.33333333333333,GEO,Asia,0.15250508870159254,0.262356729017066
59,Germany,9823.0,1144.3333333333333,774.0,254.0,5028.666666666667,30797.333333333332,37.0,5532.333333333333,1436.0,99.0,0.0,3696.0,10724.333333333334,23403.666666666668,DEU,Eurpoe,0.3308879844268051,0.13785262887062602
60,Ghana,0.0,21.333333333333332,40.666666666666664,372.3333333333333,1799.3333333333333,40.333333333333336,39.333333333333336,20.0,46.0,24.0,336.6666666666667,0.0,23006.333333333332,0.0,GHA,Africa,0.25238952152756056,0.2991617260430372
61,Greece,348.6666666666667,69.66666666666667,96.0,203.0,2259.3333333333335,1971.3333333333333,143.33333333333334,93.66666666666667,120.33333333333333,26.666666666666668,159.0,32.666666666666664,850.3333333333334,1850.6666666666667,GRC,Eurpoe,0.2024467081812966,0.086155156957694
62,Grenada,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,GRD,North America,0.0,0.0
63,Guatemala,1.0,82.33333333333333,231.66666666666666,41.0,1709.3333333333333,484.0,3.0,61.333333333333336,190.66666666666666,46.333333333333336,20.666666666666668,0.0,527.3333333333334,1.6666666666666667,GTM,North America,0.17941554669190926,0.23616953316256223
64,Guinea,0.0,68.66666666666667,26.0,115.0,641.3333333333334,176.33333333333334,17.666666666666668,2.0,8.333333333333334,56.333333333333336,1282.0,0.0,1644.6666666666667,0.0,GIN,Africa,0.06622983972112788,0.21490434180750223
65,Guinea-Bissau,0.0,6.666666666666667,1.0,7.0,7.333333333333333,23.666666666666668,2.0,15.0,2.0,3.6666666666666665,129.66666666666666,0.0,113.0,0.0,GNB,Africa,0.13867897042220426,0.2642550245102555
66,Guyana,0.0,2.0,1.0,48.666666666666664,4.333333333333333,44.0,1.0,0.3333333333333333,28.333333333333332,0.0,464.6666666666667,0.0,25.666666666666668,0.0,GUY,South America,0.021914588652239848,0.054909156750550775
67,Haiti,0.0,46.666666666666664,6.0,17.0,299.3333333333333,92.66666666666667,6.0,33.0,9.0,112.66666666666667,102.33333333333333,0.0,1356.6666666666667,0.0,HTI,North America,0.36969610688395677,0.14827401062532755
68,Honduras,0.0,63.333333333333336,50.0,46.0,556.0,675.6666666666666,0.0,12.666666666666666,150.66666666666666,0.0,34.0,0.0,64.33333333333333,1.0,HND,North America,0.1483921708689208,0.13647099679285268
69,Hungary,1015.3333333333334,24.666666666666668,139.66666666666666,22.0,6503.666666666667,1771.3333333333333,1.0,399.0,411.6666666666667,1.3333333333333333,6.666666666666667,87.66666666666667,545.0,4392.0,HUN,Eurpoe,0.5107768362423777,0.11447745829007418
70,Iceland,0.0,4.0,3.0,1292.6666666666667,0.0,124.0,10.0,6.0,7.666666666666667,0.0,0.0,0.0,7.666666666666667,0.0,ISL,Eurpoe,0.0,0.0
71,India,1677.6666666666667,2556.6666666666665,3652.0,7979.0,22436.666666666668,131978.33333333334,755.3333333333334,358.3333333333333,2311.6666666666665,13058.0,105586.0,0.0,52159.0,91754.66666666667,IND,Asia,0.5135675006355079,0.03333802702098556
72,Indonesia,0.0,551.0,1401.3333333333333,8368.0,18514.0,1377.3333333333333,113.0,731.0,1777.6666666666667,1.0,45821.333333333336,0.0,27846.0,0.0,IDN,Asia,0.26336305377127156,0.010047787095569225
73,Iran (Islamic Republic of),2704.6666666666665,236.0,689.3333333333334,818.6666666666666,1852.3333333333333,6487.333333333333,265.6666666666667,0.0,1927.0,462.3333333333333,1490.3333333333333,0.0,4791.666666666667,8932.666666666666,IRN,Asia,0.08091861686152078,0.3387158724651027
74,Iraq,885.0,52.0,52.666666666666664,65.0,556.6666666666666,341.3333333333333,58.333333333333336,0.0,87.66666666666667,11.666666666666666,233.0,0.0,596.6666666666666,3349.6666666666665,IRQ,Asia,0.13346350112108124,0.09423893091191113
75,Ireland,1445.3333333333333,519.6666666666666,46.666666666666664,364.0,0.0,5503.0,53.0,238.33333333333334,111.33333333333333,0.0,0.0,0.3333333333333333,332.6666666666667,727.3333333333334,IRL,Eurpoe,0.14678511390466278,0.4254613785528088
76,Israel,12.333333333333334,122.0,121.66666666666667,24.0,97.0,1444.0,14.0,18.0,555.3333333333334,42.0,0.0,0.0,613.6666666666666,154.33333333333334,ISR,Asia,0.21864758493341185,0.11510163383393521
77,Italy,921.6666666666666,949.0,765.0,361.3333333333333,8504.333333333334,11113.666666666666,44.0,1635.0,1232.6666666666667,117.66666666666667,1006.0,14.666666666666666,1442.3333333333333,7202.666666666667,ITA,Eurpoe,0.2721662235237313,0.10372957523761399
78,Jamaica,0.0,6.0,8.666666666666666,16.0,3.0,194.66666666666666,1.0,8.666666666666666,102.66666666666667,1.0,0.0,0.0,244.0,0.0,JAM,North America,0.22521646285399546,0.1716935354754568
79,Japan,175.66666666666666,509.0,2504.0,4265.333333333333,0.0,7537.333333333333,0.0,1291.0,1431.3333333333333,0.0,7095.0,0.0,3727.3333333333335,805.3333333333334,JPN,Asia,0.08633486246664912,0.00909772702856551
80,Jordan,34.0,20.666666666666668,51.333333333333336,1.0,14.666666666666666,308.0,20.333333333333332,0.0,187.66666666666666,3.6666666666666665,0.0,0.0,153.66666666666666,23.0,JOR,Asia,0.03964143523135972,0.0828216922993408
81,Kazakhstan,2207.6666666666665,383.3333333333333,211.0,43.0,523.6666666666666,5004.666666666667,153.0,139.0,120.33333333333333,14.333333333333334,231.66666666666666,33.333333333333336,3182.0,15504.666666666666,KAZ,Asia,0.08090182912489045,0.6592056518717825
82,Kenya,71.66666666666667,431.3333333333333,96.0,204.0,3456.0,4943.333333333333,84.0,13.666666666666666,23.666666666666668,220.33333333333334,84.66666666666667,0.0,4337.0,398.6666666666667,KEN,Africa,0.08841254925705619,0.36411689560716265
83,Kiribati,0.0,0.0,0.0,65.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,KIR,Australia,0.0,0.0
84,Kuwait,2.3333333333333335,3.0,48.0,4.333333333333333,19.333333333333332,61.666666666666664,37.0,0.0,45.333333333333336,0.0,0.0,0.0,46.0,0.0,KWT,Asia,0.006555492910826767,0.06561530528112178
85,Kyrgyzstan,252.33333333333334,98.33333333333333,23.0,0.0,530.6666666666666,1382.6666666666667,51.0,16.0,6.0,1.3333333333333333,15.333333333333334,0.0,1341.3333333333333,720.0,KGZ,Asia,0.06933762642353988,0.46586046680898724
86,Lao People's Democratic Republic,0.0,48.0,16.333333333333332,130.0,1145.0,7.333333333333333,2.0,60.0,26.666666666666668,17.0,2216.6666666666665,0.0,1142.0,0.0,LAO,Asia,0.03841975782889223,0.03600096968393332
87,Latvia,239.66666666666666,17.333333333333332,41.333333333333336,122.66666666666667,0.0,878.0,1.0,36.666666666666664,25.0,0.0,0.0,88.0,511.3333333333333,1304.0,LVA,Eurpoe,0.2887822492329963,0.08282596579624055
88,Lebanon,33.333333333333336,45.666666666666664,20.666666666666668,5.0,3.0,342.3333333333333,11.666666666666666,1.0,94.33333333333333,6.333333333333333,0.0,0.0,346.3333333333333,138.33333333333334,LBN,Asia,0.3135317869159818,0.0130992233064978
89,Lesotho,1.0,11.666666666666666,2.0,0.0,67.0,40.333333333333336,6.666666666666667,4.0,2.6666666666666665,0.0,0.0,0.0,117.33333333333333,14.666666666666666,LSO,Africa,0.09328642809725561,0.5779025773274802
90,Liberia,0.0,1.0,5.666666666666667,10.0,0.0,1.0,2.0,10.0,13.0,4.0,191.0,0.0,583.0,0.0,LBR,Africa,0.02810795171982222,1.7840562510246565e-05
91,Lithuania,729.3333333333334,40.333333333333336,47.666666666666664,153.0,92.66666666666667,1762.3333333333333,1.0,80.33333333333333,86.0,25.0,0.0,113.0,521.6666666666666,2579.6666666666665,LTU,Eurpoe,0.4673068011431317,0.0758875706890199
92,Luxembourg,39.333333333333336,8.666666666666666,2.0,0.0,2.0,295.6666666666667,0.0,10.666666666666666,1.6666666666666667,0.0,0.0,4.666666666666667,19.666666666666668,82.33333333333333,LUX,Eurpoe,0.2357118389147888,0.25681637131112045
93,Madagascar,0.0,170.0,21.333333333333332,124.0,419.0,568.3333333333334,13.0,57.666666666666664,72.0,18.0,2770.3333333333335,0.0,4978.0,8.333333333333334,MDG,Africa,0.05860591600165742,0.36583662723547083
94,Malawi,0.0,36.0,22.0,110.0,3652.6666666666665,72.66666666666667,31.333333333333332,65.0,22.666666666666668,344.3333333333333,78.66666666666667,0.0,8689.333333333334,2.0,MWI,Africa,0.11771752035612931,0.16722410121337272
95,Malaysia,0.0,30.333333333333332,664.3333333333334,1722.6666666666667,76.66666666666667,81.33333333333333,2.0,222.0,1380.3333333333333,0.0,1729.6666666666667,0.0,105.33333333333333,0.0,MYS,Asia,0.22189424378918896,0.007695227995941868
96,Maldives,0.0,0.0,0.0,122.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,MDV,Asia,0.0,0.0
97,Mali,0.0,131.66666666666666,23.0,94.66666666666667,1505.0,1470.3333333333333,124.66666666666667,3.0,42.333333333333336,220.66666666666666,1304.6666666666667,0.0,490.0,33.666666666666664,MLI,Africa,0.03693433177894597,0.23762208297580453
98,Malta,2.0,1.0,4.0,5.333333333333333,0.0,44.666666666666664,0.0,6.333333333333333,4.0,1.3333333333333333,0.0,0.0,15.0,11.666666666666666,MLT,Eurpoe,0.0,0.0
99,Mauritania,1.0,24.666666666666668,6.0,276.0,13.666666666666666,399.0,44.333333333333336,0.0,5.0,31.666666666666668,121.0,0.0,7.333333333333333,5.333333333333333,MRT,Africa,0.008028682893178393,0.10143523547151449
100,Mauritius,0.0,2.3333333333333335,11.0,7.666666666666667,0.3333333333333333,5.333333333333333,0.0,1.0,47.0,0.0,0.3333333333333333,0.0,21.666666666666668,0.0,MUS,Africa,0.0,0.0
101,Mexico,704.3333333333334,1810.6666666666667,2431.0,1684.0,20789.333333333332,11013.666666666666,99.0,1241.6666666666667,2828.6666666666665,328.6666666666667,118.33333333333333,0.0,1891.0,3419.6666666666665,MEX,North America,0.1833585526184883,0.3069108846793385
102,Mongolia,4.666666666666667,56.666666666666664,0.0,0.0,0.0,457.3333333333333,135.0,0.3333333333333333,0.0,1.6666666666666667,0.0,0.0,213.33333333333334,423.0,MNG,Asia,0.012078347269999744,0.5469291534119588
