Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","7","Angola","5511","Production","2805","Rice (Milled Equivalent)","2011","2011","1000 tonnes","15","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2805","Rice (Milled Equivalent)","2012","2012","1000 tonnes","14","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","25","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","1262","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2514","Maize and products","2012","2012","1000 tonnes","454","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2514","Maize and products","2013","2013","1000 tonnes","1549","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","16220","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2907","Starchy Roots","2012","2012","1000 tonnes","11935","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2907","Starchy Roots","2013","2013","1000 tonnes","18282","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","100","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2731","Bovine Meat","2012","2012","1000 tonnes","102","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2731","Bovine Meat","2013","2013","1000 tonnes","105","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","22","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2732","Mutton & Goat Meat","2012","2012","1000 tonnes","22","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2732","Mutton & Goat Meat","2013","2013","1000 tonnes","23","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","77","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2733","Pigmeat","2012","2012","1000 tonnes","85","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2733","Pigmeat","2013","2013","1000 tonnes","94","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","22","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2734","Poultry Meat","2012","2012","1000 tonnes","26","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2734","Poultry Meat","2013","2013","1000 tonnes","30","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2949","Eggs","2011","2011","1000 tonnes","5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2949","Eggs","2012","2012","1000 tonnes","5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2949","Eggs","2013","2013","1000 tonnes","5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","184","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2948","Milk - Excluding Butter","2012","2012","1000 tonnes","186","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2948","Milk - Excluding Butter","2013","2013","1000 tonnes","187","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","273","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2960","Fish, Seafood","2012","2012","1000 tonnes","273","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2960","Fish, Seafood","2013","2013","1000 tonnes","273","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2514","Maize and products","2012","2012","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2514","Maize and products","2013","2013","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2907","Starchy Roots","2012","2012","1000 tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2907","Starchy Roots","2013","2013","1000 tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","1","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2731","Bovine Meat","2012","2012","1000 tonnes","1","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2731","Bovine Meat","2013","2013","1000 tonnes","1","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2732","Mutton & Goat Meat","2012","2012","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2732","Mutton & Goat Meat","2013","2013","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2733","Pigmeat","2012","2012","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2733","Pigmeat","2013","2013","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2734","Poultry Meat","2012","2012","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2734","Poultry Meat","2013","2013","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2949","Eggs","2011","2011","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2949","Eggs","2012","2012","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2949","Eggs","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2948","Milk - Excluding Butter","2012","2012","1000 tonnes","6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2948","Milk - Excluding Butter","2013","2013","1000 tonnes","6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2960","Fish, Seafood","2012","2012","1000 tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","5511","Production","2960","Fish, Seafood","2013","2013","1000 tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","14683","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2511","Wheat and products","2012","2012","1000 tonnes","8134","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2511","Wheat and products","2013","2013","1000 tonnes","9315","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2805","Rice (Milled Equivalent)","2011","2011","1000 tonnes","1166","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2805","Rice (Milled Equivalent)","2012","2012","1000 tonnes","1046","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","1043","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2513","Barley and products","2011","2011","1000 tonnes","4086","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2513","Barley and products","2012","2012","1000 tonnes","5158","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2513","Barley and products","2013","2013","1000 tonnes","4705","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","23800","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2514","Maize and products","2012","2012","1000 tonnes","21197","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2514","Maize and products","2013","2013","1000 tonnes","32119","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2515","Rye and products","2011","2011","1000 tonnes","43","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2515","Rye and products","2012","2012","1000 tonnes","40","S","Standardized data"
"FBS","Food Balance Sheets","9","Argentina","5511","Production","2515","Rye and products","2013","2013","1000 tonnes","52","S","Standardized data"
