Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","16","Bangladesh","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","3498","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","16","Bangladesh","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","3125","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","14","Barbados","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","14","Barbados","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","14","Barbados","5511","Production","2549","Pulses, Other and products","2011","2011","1000 tonnes","1","S","Standardized data"
"FBS","Food Balance Sheets","14","Barbados","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","14","Barbados","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","14","Barbados","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","3","S","Standardized data"
"FBS","Food Balance Sheets","14","Barbados","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","15","S","Standardized data"
"FBS","Food Balance Sheets","14","Barbados","5511","Production","2949","Eggs","2011","2011","1000 tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","14","Barbados","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","14","Barbados","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
